Operation #,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency
"66558","TEXAS DEPT OF FPS REG 05","3105 EXECUTIVE BLVD ","BEAUMONT","TX","77705","JEFFERSON",409-951-3250,"Child Placing Agency","Certified",9/9/1988,-,"josephine.robinson@dfps.state.tx.us","95733",""
"66455","TEXAS DEPT OF FPS REG 06","5425 POLK ST ","HOUSTON","TX","77023","HARRIS",713-767-2727,"Child Placing Agency","Certified",10/18/1988,-,"Scott.Dixon@dfps.state.tx.us","95720",""
"847959","TEXAS DEPT OF FPS REG 07","14000 SUMMIT DR STE 100","AUSTIN","TX","78728","TRAVIS",,"Child Placing Agency","Certified",10/5/2005,-,"Shelia.Brown@dfps.state.tx.us","269604",""
"66557","TEXAS DEPT OF FPS REG 08","3635 SE MILITARY DR ","SAN ANTONIO","TX","78223","BEXAR",210-337-3183,"Child Placing Agency","Certified",8/25/1988,-,"sherry.gomez@dfps.state.tx.us","95732",""
"531418","TEXAS DEPT OF FPS REG 09","2525 N GRANDVIEW AVE ","ODESSA","TX","79761","ECTOR",432-368-2520,"Child Placing Agency","Certified",9/1/1996,-,"camille.gilliam@dfps.state.tx.us","151659",""
"66552","TEXAS DEPT OF FPS REG 10","501 HAWKINS ","EL PASO","TX","79915","EL PASO",915-521-3719,"Child Placing Agency","Certified",8/3/1988,-,"diana.barajas@dfps.state.tx.us","95729",""
"66434","TEXAS DEPT OF FPS REG 11","2520 S VETERANS BLVD ","EDINBURG","TX","78539","HIDALGO",956-316-8328,"Child Placing Agency","Certified",8/2/1988,-,"Georgina.Morales@dfps.state.tx.us","95713",""
"1559663","Texas Family Initiative LLC","405 S ELM ST STE 303","DENTON","TX","76201","DENTON",940-442-5294,"Child Placing Agency","Initial",2/2/2015,-,"","1171602",""
"1405286-7851-1","Texas Foster Care and Adoption Services","1460 E WHITESTONE BLVD STE 120","CEDAR PARK","TX","78613","WILLIAMSON",512-697-9806,"Child Placing Agency (Branch)","Branch",-,-,"","1135828",""
"1405286","Texas Foster Care and Adoption Services","5825 CALLAGHAN RD STE 108","SAN ANTONIO","TX","78228","BEXAR",210-332-9171,"Child Placing Agency","Full Permit",2/20/2013,-,"","975649",""
"1001786-5991-1","Texas Mentor","10935 ESTATE LN STE 253","DALLAS","TX","75238","DALLAS",214-343-4800,"Child Placing Agency (Branch)","Branch",-,-,"","485428",""
"1001926","Texas MENTOR","6161 SAVOY DR STE 1020","HOUSTON","TX","77036","HARRIS",713-432-0827,"Child Placing Agency","Full Permit",6/24/2009,-,"laurie.foster@thementornetwork.com","485568",""
"997846","Texas MENTOR","2101 S IH 35 STE 100","AUSTIN","TX","78741","TRAVIS",512-804-2338,"Child Placing Agency","Full Permit",6/10/2009,-,"Cristi.Stearns@thementornetwork.com","480791",""
"1001786","Texas Mentor","2225 E RANDOL MILL RD STE 310","ARLINGTON","TX","76011","TARRANT",817-460-1332,"Child Placing Agency","Full Permit",7/2/2009,-,"","485309",""
"1002007","Texas MENTOR","521 MAIN ST STE 105","SULPHUR SPRINGS","TX","75482","HOPKINS",903-885-3078,"Child Placing Agency","Full Permit",6/26/2009,-,"","485654",""
"1002107","Texas Mentor","4241 WOODCOCK DR STE B103","SAN ANTONIO","TX","78228","BEXAR",210-736-1644,"Child Placing Agency","Full Permit",6/29/2009,-,"katie.machuca@thementornetwork.com","485771",""
"997846-5951-1","Texas MENTOR","310 W CENTRAL TEXAS EXPY STE 2","KILLEEN","TX","76541","BELL",254-680-7512,"Child Placing Agency (Branch)","Branch",-,-,"","492373",""
"1555848","Texas SSCC Coalition, LLC","320 WESTWAY PL STE 530","ARLINGTON","TX","76018","TARRANT",817-516-9100,"Child Placing Agency","Initial",12/2/2014,-,"","1166039",""
"830623-1567-4","The  Grandberry Intervention Foundation (TGIF)","2409 S EASTMAN RD ","LONGVIEW","TX","75602","GREGG",903-234-1366,"Child Placing Agency (Branch)","Branch",-,-,"","1124081",""
"247527-347-10","The Bair Foundation - Dallas","4425 W AIRPORT FWY STE 400","IRVING","TX","75062","DALLAS",972-957-0030,"Child Placing Agency (Branch)","Branch",-,-,"khendry@bair.org","157746",""
"247527-347-2","The Bair Foundation - Tyler","5935 OLD BULLARD RD STE 100","TYLER","TX","75703","SMITH",903-939-2247,"Child Placing Agency (Branch)","Branch",-,-,"sadolph@bair.org","154313",""
"247527-347-9","The Bair Foundation-Austin","8840 BUSINESS PARK DR ","AUSTIN","TX","78759","TRAVIS",512-346-3555,"Child Placing Agency (Branch)","Branch",-,-,"","167532",""
"252742-223-3","The Burke Foundation Child Placing Agency","1415 N STUART PLACE RD STE B","HARLINGEN","TX","78552","CAMERON",956-230-0711,"Child Placing Agency (Branch)","Branch",-,-,"","250947",""
"252742-223-2","The Burke Foundation Child Placing Agency","120 W VILLAGE BLVD STE 125","LAREDO","TX","78041","WEBB",956-723-5886,"Child Placing Agency (Branch)","Branch",-,-,"","223990",""
"252742-223-1","The Burke Foundation Child Placing Agency","3833 S STAPLES ST # 214","CORPUS CHRISTI","TX","78411","NUECES",361-853-6700,"Child Placing Agency (Branch)","Branch",-,-,"BurkFound@sbcglobal.net","208958",""
"252742","The Burke Foundation Child Placing Agency","20800 FM 150 W ","DRIFTWOOD","TX","78619","HAYS",512-858-4258,"Child Placing Agency","Full Permit",8/24/1990,-,"missk.urbina@burkecenterforyouth.org","109933",""
"252742-223-9","The Burke Foundation Child Placing Agency","16027 COUNTRY BEND RD ","HOUSTON","TX","77095","HARRIS",361-455-9233,"Child Placing Agency (Branch)","Branch",-,-,"","1170220",""
"1051226","The Center For Health Care Services","6812 BANDERA RD STE 213","SAN ANTONIO","TX","78238","BEXAR",210-261-3560,"Child Placing Agency","Full Permit",11/3/2010,-,"btthompson@chcsbc.org","543050",""
"1051226-6311-1","The Center for Health Care Services Foster Care Services","3031 W IH 10 ","SAN ANTONIO","TX","78201","BEXAR",210-731-1300,"Child Placing Agency (Branch)","Branch",-,-,"btthompson@chcsbc.org","562241",""
"5915","The Childrens Home of Lubbock","4404 IDALOU RD ","LUBBOCK","TX","79403","LUBBOCK",806-762-0481,"Child Placing Agency","Full Permit",11/26/1985,-,"info@childshome.org","94165",""
"844778","The Giocosa Foundation","201 N FM 1660 ","HUTTO","TX","78634","WILLIAMSON",512-306-9241,"Child Placing Agency","Full Permit",12/1/2004,-,"giocosa@austin.rr.com","262633",""
"844778-356-6","The Giocosa Foundation","204 N EAST ST STE A1","BELTON","TX","76513","BELL",254-613-4501,"Child Placing Agency (Branch)","Branch",-,-,"","1128059",""
"844778-356-5","The Giocosa Foundation","700 PAREDES LINE RD STE 102","BROWNSVILLE","TX","78521","CAMERON",956-621-0727,"Child Placing Agency (Branch)","Branch",-,-,"","1045869",""
"844778-356-3","The Giocosa Foundation","6720 SANDS POINT DR STE 201","HOUSTON","TX","77074","HARRIS",713-647-6691,"Child Placing Agency (Branch)","Branch",-,-,"april@giocosa.com","365701",""
"844778-356-2","The Giocosa Foundation","201 N FM 1660 ","HUTTO","TX","78634","WILLIAMSON",512-642-6276,"Child Placing Agency (Branch)","Branch",-,-,"","359201",""
"844778-356-4","The Giocosa Foundation","1909 CENTRAL DR STE 305","BEDFORD","TX","76021","TARRANT",817-545-5300,"Child Placing Agency (Branch)","Branch",-,-,"","405110",""
"844778-356-7","The Giocosa Foundation","6999 MCPHERSON RD STE 211A","LAREDO","TX","78041","WEBB",956-568-7597,"Child Placing Agency (Branch)","Branch",-,-,"","1160799",""
"30","The Gladney Center For Adoption","6300 JOHN RYAN DR ","FORT WORTH","TX","76132","TARRANT",817-922-6000,"Child Placing Agency","Full Permit",2/23/1987,-,"background@gladney.org","94088",""
"30-30-1","The Gladney Center for Adoption - Houston","14530 WUNDERLICH DR STE 201C","HOUSTON","TX","77069","HARRIS",800-452-3639,"Child Placing Agency (Branch)","Branch",-,-,"background@gladney.org","1121363",""
"830623-1567-3","The Grandberry Intervention Foundation (TGIF)","5330 GRIGGS RD STE A114","HOUSTON","TX","77021","HARRIS",713-644-2600,"Child Placing Agency (Branch)","Branch",-,-,"","953551",""
"830623","The Grandberry Intervention Foundation (TGIF)","4109 MANSFIELD HWY ","FOREST HILL","TX","76119","TARRANT",817-561-4149,"Child Placing Agency","Full Permit",12/17/2004,-,"sggrandberry@yahoo.com","231654",""
"830623-1567-2","The Grandberry Intervention Foundation, Inc. (TGIF)","990 IH 10 N STE 209","BEAUMONT","TX","77702","JEFFERSON",409-892-1808,"Child Placing Agency (Branch)","Branch",-,-,"sgrandberry.tgif@yahoo.com","588268",""
"1511164","THE PAYTON FOUNDATION","6955 BROACH RD ","BRYAN","TX","77808","BRAZOS",979-589-3631,"Child Placing Agency","Full Permit",4/7/2014,-,"tpfcpa@msn.com","1106901",""
"256263-105-16","Therapeutic Family Life","1340 AIRPORT COMMERCE DR STE 480","AUSTIN","TX","78741","TRAVIS",512-451-7310,"Child Placing Agency (Branch)","Branch",-,-,"","1113735",""
"256263-105-5","Therapeutic Family Life","100 I 45 N STE 220","CONROE","TX","77301","MONTGOMERY",936-756-1800,"Child Placing Agency (Branch)","Branch",-,-,"holly.jones@tflife.org","162781",""
"256263-105-14","Therapeutic Family Life","101 FAIRWAY DR ","KERRVILLE","TX","78028","KERR",830-257-4734,"Child Placing Agency (Branch)","Branch",-,-,"","346512",""
"256263-105-4","Therapeutic Family Life","7704 S LOOP 1604 E ","ELMENDORF","TX","78112","BEXAR",210-348-6544,"Child Placing Agency (Branch)","Branch",-,-,"melissa.allen@tflife.org","161903",""
"256263-105-3","Therapeutic Family Life","1455 S HIGHWAY 69 ","NEDERLAND","TX","77627","JEFFERSON",409-722-3000,"Child Placing Agency (Branch)","Branch",-,-,"","160139",""
"256263-105-1","Therapeutic Family Life","1415 NORTH LOOP W STE 800","HOUSTON","TX","77008","HARRIS",713-861-1500,"Child Placing Agency (Branch)","Branch",-,-,"","162780",""
"256263-105-2","Therapeutic Family Life","2229 AVENUE J STE 105","ARLINGTON","TX","76006","TARRANT",817-265-2328,"Child Placing Agency (Branch)","Branch",-,-,"bernieb@tflife.org","137325",""
"256263","Therapeutic Family Life","5810 TRADE CENTER DR STE 500","AUSTIN","TX","78744","TRAVIS",512-451-7310,"Child Placing Agency","Full Permit",5/1/1994,-,"virginia.smith@tflife.org","111874",""
"256263-105-13","Therapeutic Family Life","3500 SW H K DODGEN LOOP STE 101","TEMPLE","TX","76504","BELL",254-773-3313,"Child Placing Agency (Branch)","Branch",-,-,"","326992",""
"846072","Trinity Foster Care","6117 RICHMOND AVE STE 100","HOUSTON","TX","77057","HARRIS",713-957-8442,"Child Placing Agency","Full Permit",2/7/2005,-,"twashington@trinityys.org","265394",""
"1517641","Triumph House CPA"," ","","","","",936-396-1122,"Child Placing Agency","Full Permit",2/13/2014,-,"volunteer@traffick911.com","1114550",""
"843923","Unity Children's Home CPA","11805 TRICKEY RD ","HOUSTON","TX","77067","HARRIS",281-537-6148,"Child Placing Agency","Full Permit",11/10/2004,-,"","260825",""
"851913","Urban Neighborhood Initiative For Families and Youth (UNIFY)","804 DALWORTH ST STE C","GRAND PRAIRIE","TX","75050","DALLAS",972-262-9600,"Child Placing Agency","Full Permit",10/6/2006,-,"steph.douglas@sbcglobal.net","277967",""
"4","Whitby Alliance DBA Providence Place","6487 WHITBY RD ","SAN ANTONIO","TX","78240","BEXAR",210-696-2410,"Child Placing Agency","Full Permit",7/24/1987,-,"robyn.gambrel@provplace.org","94080",""
"1186386","Wings of Refuge","3730 KIRBY DR STE 1200","HOUSTON","TX","77098","HARRIS",713-831-6898,"Child Placing Agency","Full Permit",12/29/2011,-,"wingsofrefugetx@yahoo.com","711509",""
"852248","Youth in View","1510 N HAMPTON RD STE 290","DESOTO","TX","75115","DALLAS",214-484-9280,"Child Placing Agency","Full Permit",7/27/2005,-,"SDaniels@youthinview.org","278706",""
